駅番号,線名,駅名,郵便番号,住所,電話番号,駅構内図,駅構内バリアフリー案内図,駅ナカ・駅ビル情報
S17,西神・山手線,西神中央駅,651-2273,神戸市西区糀台5丁目,078-991-3002,http://www.city.kobe.lg.jp/life/access/transport/img/s17.gif,http://www.city.kobe.lg.jp/life/access/transport/img/s17ud.gif,http://ktbsp.jp/stations17/
S16,西神・山手線,西神南駅,651-2242,神戸市西区井吹台東町1丁目,078-997-0812,http://www.city.kobe.lg.jp/life/access/transport/img/s16.gif,http://www.city.kobe.lg.jp/life/access/transport/img/s16ud.gif,http://ktbsp.jp/stations16/
S15,西神・山手線,伊川谷駅,651-2109,神戸市西区前開南町1丁目2-1,078-974-8118,http://www.city.kobe.lg.jp/life/access/transport/img/s15.gif,http://www.city.kobe.lg.jp/life/access/transport/img/s15ud.gif,http://ktbsp.jp/stations15/
S14,西神・山手線,学園都市駅,651-2103,神戸市西区学園西町1丁目,078-792-2288,http://www.city.kobe.lg.jp/life/access/transport/img/s14.gif,http://www.city.kobe.lg.jp/life/access/transport/img/s14ud.gif,http://ktbsp.jp/stations14/
S13,西神・山手線,運動公園駅,654-0163,神戸市須磨区緑台,078-792-2267,http://www.city.kobe.lg.jp/life/access/transport/img/s13.gif,http://www.city.kobe.lg.jp/life/access/transport/img/s13ud.gif,http://ktbsp.jp/stations13/
S12,西神・山手線,名谷駅,654-0154,神戸市須磨区中落合2丁目3-1,078-791-1170,http://www.city.kobe.lg.jp/life/access/transport/img/s12.gif,http://www.city.kobe.lg.jp/life/access/transport/img/s12ud.gif,http://ktbsp.jp/stations12/
S11,西神・山手線,妙法寺駅,654-0121,神戸市須磨区横尾1丁目,078-743-6040,http://www.city.kobe.lg.jp/life/access/transport/img/s11.gif,http://www.city.kobe.lg.jp/life/access/transport/img/s11ud.gif,http://ktbsp.jp/stations11/
S10,西神・山手線,板宿駅,654-0022,神戸市須磨区大黒町2丁目,078-734-0076,http://www.city.kobe.lg.jp/life/access/transport/img/s10.gif,http://www.city.kobe.lg.jp/life/access/transport/img/s10ud.gif,http://ktbsp.jp/stations10/
S09,西神・山手線,新長田駅,653-0841,神戸市長田区松野通1丁目,078-642-3157,http://www.city.kobe.lg.jp/life/access/transport/img/s09k10.gif,http://www.city.kobe.lg.jp/life/access/transport/img/s09k10ud.gif,http://ktbsp.jp/stations09/
S08,西神・山手線,長田駅,653-0004,神戸市長田区四番町7丁目,078-575-9500,http://www.city.kobe.lg.jp/life/access/transport/img/s08.gif,http://www.city.kobe.lg.jp/life/access/transport/img/s08ud.gif,http://ktbsp.jp/stations08/
S07,西神・山手線,上沢駅,652-0047,神戸市兵庫区下沢通8丁目,078-521-0030,http://www.city.kobe.lg.jp/life/access/transport/img/s07.gif,http://www.city.kobe.lg.jp/life/access/transport/img/s07ud.gif,http://ktbsp.jp/stations07/
S06,西神・山手線,湊川公園駅,652-0047,神戸市兵庫区下沢通1丁目,078-521-0774,http://www.city.kobe.lg.jp/life/access/transport/img/s06.gif,http://www.city.kobe.lg.jp/life/access/transport/img/s06ud.gif,http://ktbsp.jp/stations06/
S05,西神・山手線,大倉山駅,650-0017,神戸市中央区楠町3丁目,078-361-2353,http://www.city.kobe.lg.jp/life/access/transport/img/s05.gif,http://www.city.kobe.lg.jp/life/access/transport/img/s05ud.gif,http://ktbsp.jp/stations05/
S04,西神・山手線,県庁前駅,650-0011,神戸市中央区下山手通5丁目,078-371-5806,http://www.city.kobe.lg.jp/life/access/transport/img/s04.gif,http://www.city.kobe.lg.jp/life/access/transport/img/s04ud.gif,http://ktbsp.jp/stations04/
S03,西神・山手線,三宮駅,650-0012,神戸市中央区北長狭通1丁目,078-391-3214,http://www.city.kobe.lg.jp/life/access/transport/img/s03.gif,http://www.city.kobe.lg.jp/life/access/transport/img/s03ud.gif,http://ktbsp.jp/stations03/
S02,西神・山手線,新神戸駅,650-0001,神戸市中央区加納町1丁目,078-242-6401,http://www.city.kobe.lg.jp/life/access/transport/img/s02.gif,http://www.city.kobe.lg.jp/life/access/transport/img/s02ud.gif,http://ktbsp.jp/stations02/
K10,海岸線,新長田駅,653-0038,神戸市長田区若松町4丁目,078-641-1665,http://www.city.kobe.lg.jp/life/access/transport/img/s09k10.gif,http://www.city.kobe.lg.jp/life/access/transport/img/s09k10ud.gif,http://ktbsp.jp/stationk10/
K09,海岸線,駒ケ林駅,653-0035,神戸市長田区庄田町4丁目,078-641-0681,http://www.city.kobe.lg.jp/life/access/transport/img/k09.gif,http://www.city.kobe.lg.jp/life/access/transport/img/k09ud.gif,http://ktbsp.jp/stationk09/
